,missing_network,school_network,inconsistent_network,notunique_network,missing_metadata
725,,,network code revised for SHYM station from ME to OZ,BRAT station is linked to 2 network!,
726,,,network code revised for SHYM station from ME to OZ,BRAT station is linked to 2 network!,
727,,,network code revised for ROYM station from ME to OZ,BRAT station is linked to 2 network!,
728,,,network code revised for MPDM station from ME to OZ,BRAT station is linked to 2 network!,
729,,,network code revised for MPDM station from ME to OZ,BRAT station is linked to 2 network!,
730,,,network code revised for MPDM station from ME to OZ,HML1 station is linked to 2 network!,
731,,,network code revised for SBSV station from ME to OZ,HML1 station is linked to 2 network!,
732,,,network code revised for SBSV station from ME to OZ,HML1 station is linked to 2 network!,
733,,,network code revised for SBSV station from ME to OZ,MRAT station is linked to 2 network!,
734,,,network code revised for FSHM station from ME to OZ,MRAT station is linked to 2 network!,
735,,,network code revised for FSHM station from ME to OZ,MRAT station is linked to 2 network!,
736,,,network code revised for FSHM station from ME to OZ,SDAN station is linked to 2 network!,
737,,,network code revised for MDRM station from ME to OZ,SDAN station is linked to 2 network!,
738,,,network code revised for MDRM station from ME to OZ,SDAN station is linked to 2 network!,
739,,,network code revised for MDRM station from ME to OZ,SDAN station is linked to 2 network!,
740,,,network code revised for JENM station from ME to OZ,SDAN station is linked to 2 network!,
741,,,network code revised for JENM station from ME to OZ,SDAN station is linked to 2 network!,
742,,,network code revised for JENM station from ME to OZ,UTT station is linked to 2 network!,
743,,,network code revised for JENM station from ME to OZ,PLMR station is linked to 2 network!,
744,,,network code revised for JENM station from ME to OZ,PLMR station is linked to 2 network!,
745,,,network code revised for JENM station from ME to OZ,PLMR station is linked to 2 network!,
746,,,network code revised for MACM station from ME to OZ,GNGN station is linked to 2 network!,
747,,,network code revised for MACM station from ME to OZ,GNGN station is linked to 2 network!,
748,,,network code revised for MACM station from ME to OZ,GNGN station is linked to 2 network!,
749,,,network code revised for MLWM station from ME to OZ,BRAT station is linked to 2 network!,
750,,,network code revised for MLWM station from ME to OZ,BRAT station is linked to 2 network!,
751,,,network code revised for MLWM station from ME to OZ,BRAT station is linked to 2 network!,
752,,,network code revised for GLMM station from ME to OZ,SDAN station is linked to 2 network!,
753,,,network code revised for GLMM station from ME to OZ,SDAN station is linked to 2 network!,
754,,,network code revised for GLMM station from ME to OZ,SDAN station is linked to 2 network!,
755,,,network code revised for TATM station from ME to OZ,SDAN station is linked to 2 network!,
756,,,network code revised for TATM station from ME to OZ,SDAN station is linked to 2 network!,
757,,,network code revised for TATM station from ME to OZ,SDAN station is linked to 2 network!,
758,,,network code revised for CCRM station from ME to OZ,GNGN station is linked to 2 network!,
759,,,network code revised for CCRM station from ME to OZ,GNGN station is linked to 2 network!,
760,,,network code revised for CCRM station from ME to OZ,GNGN station is linked to 2 network!,
761,,,network code revised for HOPM station from ME to OZ,MILD station is linked to 2 network!,
762,,,network code revised for HOPM station from ME to OZ,MILD station is linked to 2 network!,
763,,,network code revised for HOPM station from ME to OZ,MILD station is linked to 2 network!,
764,,,network code revised for KOWM station from ME to OZ,SDAN station is linked to 2 network!,
765,,,network code revised for KOWM station from ME to OZ,SDAN station is linked to 2 network!,
766,,,network code revised for KOWM station from ME to OZ,SDAN station is linked to 2 network!,
767,,,network code revised for BUCM station from ME to OZ,SDAN station is linked to 2 network!,
768,,,network code revised for BUCM station from ME to OZ,SDAN station is linked to 2 network!,
769,,,network code revised for BUCM station from ME to OZ,SDAN station is linked to 2 network!,
770,,,network code revised for CCRM station from ME to OZ,HML1 station is linked to 2 network!,
771,,,network code revised for CCRM station from ME to OZ,HML1 station is linked to 2 network!,
772,,,network code revised for CCRM station from ME to OZ,HML1 station is linked to 2 network!,
773,,,network code revised for RUSM station from ME to OZ,BRAT station is linked to 2 network!,
774,,,network code revised for RUSM station from ME to OZ,BRAT station is linked to 2 network!,
775,,,network code revised for RUSM station from ME to OZ,BRAT station is linked to 2 network!,
776,,,network code revised for MLWM station from ME to OZ,BRAT station is linked to 2 network!,
777,,,network code revised for MLWM station from ME to OZ,BRAT station is linked to 2 network!,
778,,,network code revised for MLWM station from ME to OZ,BRAT station is linked to 2 network!,
779,,,network code revised for CPXM station from ME to OZ,GVL station is linked to 2 network!,
780,,,network code revised for CPXM station from ME to OZ,GVL station is linked to 2 network!,
781,,,network code revised for CPXM station from ME to OZ,GVL station is linked to 2 network!,
782,,,network code revised for EUGM station from ME to OZ,GVL station is linked to 2 network!,
783,,,network code revised for EUGM station from ME to OZ,GVL station is linked to 2 network!,
784,,,network code revised for EUGM station from ME to OZ,GVL station is linked to 2 network!,
785,,,network code revised for BJEM station from ME to OZ,HML1 station is linked to 2 network!,
786,,,network code revised for BJEM station from ME to OZ,HML1 station is linked to 2 network!,
787,,,network code revised for BJEM station from ME to OZ,HML1 station is linked to 2 network!,
788,,,network code revised for JBRM station from ME to OZ,SDAN station is linked to 2 network!,
789,,,network code revised for JBRM station from ME to OZ,SDAN station is linked to 2 network!,
790,,,network code revised for JBRM station from ME to OZ,SDAN station is linked to 2 network!,
791,,,network code revised for JBRM station from ME to OZ,SDAN station is linked to 2 network!,
792,,,network code revised for JBRM station from ME to OZ,SDAN station is linked to 2 network!,
793,,,network code revised for JBRM station from ME to OZ,SDAN station is linked to 2 network!,
794,,,network code revised for KANM station from ME to OZ,UTT station is linked to 2 network!,
795,,,network code revised for KANM station from ME to OZ,STR2 station is linked to 2 network!,
796,,,network code revised for KANM station from ME to OZ,STR2 station is linked to 2 network!,
797,,,network code revised for YERM station from ME to OZ,STR2 station is linked to 2 network!,
798,,,network code revised for YERM station from ME to OZ,BRAT station is linked to 2 network!,
799,,,network code revised for YERM station from ME to OZ,BRAT station is linked to 2 network!,
800,,,network code revised for TALM station from ME to OZ,BRAT station is linked to 2 network!,
801,,,network code revised for TALM station from ME to OZ,BRAT station is linked to 2 network!,
802,,,network code revised for TALM station from ME to OZ,BRAT station is linked to 2 network!,
803,,,network code revised for BUDM station from ME to OZ,BRAT station is linked to 2 network!,
804,,,network code revised for BUDM station from ME to OZ,GNGN station is linked to 2 network!,
805,,,network code revised for BUDM station from ME to OZ,GNGN station is linked to 2 network!,
806,,,network code revised for CPXM station from ME to OZ,GNGN station is linked to 2 network!,
807,,,network code revised for CPXM station from ME to OZ,CAAN station is linked to 2 network!,
808,,,network code revised for CPXM station from ME to OZ,CAAN station is linked to 2 network!,
809,,,network code revised for BUDM station from ME to OZ,CAAN station is linked to 2 network!,
810,,,network code revised for BUDM station from ME to OZ,,
811,,,network code revised for BUDM station from ME to OZ,,
812,,,network code revised for LBXM station from ME to OZ,,
813,,,network code revised for LBXM station from ME to OZ,,
814,,,network code revised for LBXM station from ME to OZ,,
815,,,network code revised for LHBM station from ME to OZ,,
816,,,network code revised for YERM station from ME to OZ,,
817,,,network code revised for YERM station from ME to OZ,,
818,,,network code revised for YERM station from ME to OZ,,
819,,,network code revised for WER station from ME to OZ,,
820,,,network code revised for WER station from ME to OZ,,
821,,,network code revised for WER station from ME to OZ,,
822,,,network code revised for WDBM station from ME to OZ,,
823,,,network code revised for WDBM station from ME to OZ,,
824,,,network code revised for WDBM station from ME to OZ,,
825,,,network code revised for WDBM station from ME to OZ,,
826,,,network code revised for WDBM station from ME to OZ,,
827,,,network code revised for WDBM station from ME to OZ,,
828,,,network code revised for WGBM station from ME to OZ,,
829,,,network code revised for WGBM station from ME to OZ,,
830,,,network code revised for WGBM station from ME to OZ,,
831,,,network code revised for PHDM station from ME to OZ,,
832,,,network code revised for PHDM station from ME to OZ,,
833,,,network code revised for PHDM station from ME to OZ,,
834,,,network code revised for PHDM station from ME to OZ,,
835,,,network code revised for PHDM station from ME to OZ,,
836,,,network code revised for PHDM station from ME to OZ,,
837,,,network code revised for KANM station from ME to OZ,,
838,,,network code revised for KANM station from ME to OZ,,
839,,,network code revised for KANM station from ME to OZ,,
840,,,network code revised for JBRM station from ME to OZ,,
841,,,network code revised for JBRM station from ME to OZ,,
842,,,network code revised for JBRM station from ME to OZ,,
843,,,network code revised for JBRM station from ME to OZ,,
844,,,network code revised for JBRM station from ME to OZ,,
845,,,network code revised for JBRM station from ME to OZ,,
846,,,network code revised for BJEM station from ME to OZ,,
847,,,network code revised for BJEM station from ME to OZ,,
848,,,network code revised for BJEM station from ME to OZ,,
849,,,network code revised for EUGM station from ME to OZ,,
850,,,network code revised for EUGM station from ME to OZ,,
851,,,network code revised for EUGM station from ME to OZ,,
852,,,network code revised for EUGM station from ME to OZ,,
853,,,network code revised for EUGM station from ME to OZ,,
854,,,network code revised for EUGM station from ME to OZ,,
855,,,network code revised for JBRM station from ME to OZ,,
856,,,network code revised for JBRM station from ME to OZ,,
857,,,network code revised for JBRM station from ME to OZ,,
858,,,network code revised for KANM station from ME to OZ,,
859,,,network code revised for KANM station from ME to OZ,,
860,,,network code revised for KANM station from ME to OZ,,
861,,,network code revised for YERM station from ME to OZ,,
862,,,network code revised for YERM station from ME to OZ,,
863,,,network code revised for YERM station from ME to OZ,,
864,,,network code revised for GRVM station from ME to OZ,,
865,,,network code revised for GRVM station from ME to OZ,,
866,,,network code revised for GRVM station from ME to OZ,,
867,,,network code revised for GRVM station from ME to OZ,,
868,,,network code revised for GRVM station from ME to OZ,,
869,,,network code revised for GRVM station from ME to OZ,,
870,,,network code revised for WGBM station from ME to OZ,,
871,,,network code revised for WGBM station from ME to OZ,,
872,,,network code revised for WGBM station from ME to OZ,,
873,,,network code revised for WERM station from ME to OZ,,
874,,,network code revised for WERM station from ME to OZ,,
875,,,network code revised for WERM station from ME to OZ,,
876,,,network code revised for WDBM station from ME to OZ,,
877,,,network code revised for WDBM station from ME to OZ,,
878,,,network code revised for WDBM station from ME to OZ,,
879,,,network code revised for TALM station from ME to OZ,,
880,,,network code revised for TALM station from ME to OZ,,
881,,,network code revised for TALM station from ME to OZ,,
882,,,network code revised for FTZM station from ME to OZ,,
883,,,network code revised for AVO station from ME to OZ,,
884,,,network code revised for AVO station from ME to OZ,,
885,,,network code revised for AVO station from ME to OZ,,
886,,,network code revised for CPXM station from ME to OZ,,
887,,,network code revised for CPXM station from ME to OZ,,
888,,,network code revised for CPXM station from ME to OZ,,
889,,,network code revised for NARM station from ME to OZ,,
890,,,network code revised for NARM station from ME to OZ,,
891,,,network code revised for NARM station from ME to OZ,,
892,,,network code revised for DTMM station from ME to OZ,,
893,,,network code revised for DTMM station from ME to OZ,,
894,,,network code revised for DTMM station from ME to OZ,,
895,,,network code revised for FSHM station from ME to OZ,,
896,,,network code revised for FSHM station from ME to OZ,,
897,,,network code revised for FSHM station from ME to OZ,,
898,,,network code revised for JENM station from ME to OZ,,
899,,,network code revised for JENM station from ME to OZ,,
900,,,network code revised for JENM station from ME to OZ,,
901,,,network code revised for JENM station from ME to OZ,,
902,,,network code revised for JENM station from ME to OZ,,
903,,,network code revised for JENM station from ME to OZ,,
904,,,network code revised for MDRM station from ME to OZ,,
905,,,network code revised for MDRM station from ME to OZ,,
906,,,network code revised for MDRM station from ME to OZ,,
907,,,network code revised for DVBM station from ME to OZ,,
908,,,network code revised for DVBM station from ME to OZ,,
909,,,network code revised for DVBM station from ME to OZ,,
910,,,network code revised for DVBM station from ME to OZ,,
911,,,network code revised for DVBM station from ME to OZ,,
912,,,network code revised for DVBM station from ME to OZ,,
913,,,network code revised for TOMM station from ME to OZ,,
914,,,network code revised for TOMM station from ME to OZ,,
915,,,network code revised for TOMM station from ME to OZ,,
916,,,network code revised for TOMM station from ME to OZ,,
917,,,network code revised for TOMM station from ME to OZ,,
918,,,network code revised for TOMM station from ME to OZ,,
919,,,network code revised for CDNM station from ME to OZ,,
920,,,network code revised for CDNM station from ME to OZ,,
921,,,network code revised for CDNM station from ME to OZ,,
922,,,network code revised for MPDM station from ME to OZ,,
923,,,network code revised for MPDM station from ME to OZ,,
924,,,network code revised for MPDM station from ME to OZ,,
925,,,network code revised for MACM station from ME to OZ,,
926,,,network code revised for MACM station from ME to OZ,,
927,,,network code revised for MACM station from ME to OZ,,
928,,,network code revised for FRTM station from ME to OZ,,
929,,,network code revised for FRTM station from ME to OZ,,
930,,,network code revised for FRTM station from ME to OZ,,
931,,,network code revised for TATM station from ME to OZ,,
932,,,network code revised for TATM station from ME to OZ,,
933,,,network code revised for TATM station from ME to OZ,,
934,,,network code revised for CCRM station from ME to OZ,,
935,,,network code revised for CCRM station from ME to OZ,,
936,,,network code revised for CCRM station from ME to OZ,,
937,,,network code revised for DTMM station from ME to OZ,,
938,,,network code revised for DTMM station from ME to OZ,,
939,,,network code revised for DTMM station from ME to OZ,,
940,,,network code revised for GOGM station from ME to OZ,,
941,,,network code revised for GOGM station from ME to OZ,,
942,,,network code revised for GOGM station from ME to OZ,,
943,,,network code revised for CPXM station from ME to OZ,,
944,,,network code revised for CPXM station from ME to OZ,,
945,,,network code revised for CPXM station from ME to OZ,,
946,,,network code revised for BUDM station from ME to OZ,,
947,,,network code revised for BUDM station from ME to OZ,,
948,,,network code revised for BUDM station from ME to OZ,,
949,,,network code revised for NATM station from ME to OZ,,
950,,,network code revised for NATM station from ME to OZ,,
951,,,network code revised for NATM station from ME to OZ,,
952,,,network code revised for TALM station from ME to OZ,,
953,,,network code revised for TALM station from ME to OZ,,
954,,,network code revised for TALM station from ME to OZ,,
955,,,network code revised for CTBM station from ME to OZ,,
956,,,network code revised for CTBM station from ME to OZ,,
957,,,network code revised for CTBM station from ME to OZ,,
958,,,network code revised for CTBM station from ME to OZ,,
959,,,network code revised for CTBM station from ME to OZ,,
960,,,network code revised for CTBM station from ME to OZ,,
961,,,network code revised for YERM station from ME to OZ,,
962,,,network code revised for YERM station from ME to OZ,,
963,,,network code revised for YERM station from ME to OZ,,
964,,,network code revised for LBXM station from ME to OZ,,
965,,,network code revised for LBXM station from ME to OZ,,
966,,,network code revised for LBXM station from ME to OZ,,
967,,,network code revised for WRNM station from ME to OZ,,
968,,,network code revised for WRNM station from ME to OZ,,
969,,,network code revised for WRNM station from ME to OZ,,
970,,,network code revised for WER station from ME to OZ,,
971,,,network code revised for WER station from ME to OZ,,
972,,,network code revised for WER station from ME to OZ,,
973,,,network code revised for WER station from ME to OZ,,
974,,,network code revised for WER station from ME to OZ,,
975,,,network code revised for WER station from ME to OZ,,
976,,,network code revised for KANM station from ME to OZ,,
977,,,network code revised for KANM station from ME to OZ,,
978,,,network code revised for KANM station from ME to OZ,,
979,,,network code revised for WDBM station from ME to OZ,,
980,,,network code revised for WDBM station from ME to OZ,,
981,,,network code revised for WDBM station from ME to OZ,,
982,,,network code revised for WDBM station from ME to OZ,,
983,,,network code revised for WDBM station from ME to OZ,,
984,,,network code revised for WDBM station from ME to OZ,,
985,,,network code revised for LHBM station from ME to OZ,,
986,,,network code revised for LHBM station from ME to OZ,,
987,,,network code revised for LHBM station from ME to OZ,,
988,,,network code revised for LHBM station from ME to OZ,,
989,,,network code revised for LHBM station from ME to OZ,,
990,,,network code revised for LHBM station from ME to OZ,,
991,,,network code revised for LHBM station from ME to OZ,,
992,,,network code revised for LHBM station from ME to OZ,,
993,,,network code revised for LHBM station from ME to OZ,,
994,,,network code revised for WGBM station from ME to OZ,,
995,,,network code revised for WGBM station from ME to OZ,,
996,,,network code revised for WGBM station from ME to OZ,,
997,,,network code revised for PHDM station from ME to OZ,,
998,,,network code revised for PHDM station from ME to OZ,,
999,,,network code revised for PHDM station from ME to OZ,,
1000,,,network code revised for WAM station from ME to OZ,,
1001,,,network code revised for WAM station from ME to OZ,,
1002,,,network code revised for WAM station from ME to OZ,,
1003,,,network code revised for WAM station from ME to OZ,,
1004,,,network code revised for LOSM station from ME to OZ,,
1005,,,network code revised for LOSM station from ME to OZ,,
1006,,,network code revised for LOSM station from ME to OZ,,
1007,,,network code revised for MEEK station from nan to AU,,
1008,,,network code revised for MEEK station from nan to AU,,
1009,,,network code revised for MEEK station from nan to AU,,
1010,,,network code revised for BLDU station from nan to AU,,
1011,,,network code revised for BLDU station from nan to AU,,
1012,,,network code revised for BLDU station from nan to AU,,
1013,,,network code revised for BLDU station from nan to AU,,
1014,,,network code revised for BLDU station from nan to AU,,
1015,,,network code revised for BLDU station from nan to AU,,
1016,,,network code revised for FR03 station from FR to AU,,
1017,,,network code revised for FR03 station from FR to AU,,
1018,,,network code revised for FR03 station from FR to AU,,
1019,,,network code revised for FR09 station from FR to AU,,
1020,,,network code revised for FR09 station from FR to AU,,
1021,,,network code revised for FR09 station from FR to AU,,
1022,,,network code revised for FR13 station from FR to AU,,
1023,,,network code revised for FR13 station from FR to AU,,
1024,,,network code revised for FR13 station from FR to AU,,
1025,,,network code revised for FR16 station from FR to AU,,
1026,,,network code revised for FR16 station from FR to AU,,
1027,,,network code revised for FR16 station from FR to AU,,
1028,,,network code revised for KOO1 station from ME to AU,,
1029,,,network code revised for KOO1 station from ME to AU,,
1030,,,network code revised for KOO1 station from ME to AU,,
1031,,,network code revised for KLBR station from nan to AU,,
1032,,,network code revised for KLBR station from nan to AU,,
1033,,,network code revised for KLBR station from nan to AU,,
1034,,,network code revised for KLBR station from nan to AU,,
1035,,,network code revised for KLBR station from nan to AU,,
1036,,,network code revised for KLBR station from nan to AU,,
1037,,,network code revised for KOO1 station from ME to AU,,
1038,,,network code revised for KOO1 station from ME to AU,,
1039,,,network code revised for KOO1 station from ME to AU,,
1040,,,network code revised for KLBR station from nan to AU,,
1041,,,network code revised for KLBR station from nan to AU,,
1042,,,network code revised for KLBR station from nan to AU,,
1043,,,network code revised for KLBR station from nan to AU,,
1044,,,network code revised for KLBR station from nan to AU,,
1045,,,network code revised for KLBR station from nan to AU,,
1046,,,network code revised for KOO1 station from ME to AU,,
1047,,,network code revised for KOO1 station from ME to AU,,
1048,,,network code revised for KOO1 station from ME to AU,,
1049,,,network code revised for MORW station from nan to AU,,
1050,,,network code revised for MORW station from nan to AU,,
1051,,,network code revised for MORW station from nan to AU,,
1052,,,network code revised for KLBR station from nan to AU,,
1053,,,network code revised for KLBR station from nan to AU,,
1054,,,network code revised for KLBR station from nan to AU,,
1055,,,network code revised for KLBR station from nan to AU,,
1056,,,network code revised for KLBR station from nan to AU,,
1057,,,network code revised for KLBR station from nan to AU,,
1058,,,network code revised for CDNM station from ME to OZ,,
1059,,,network code revised for CDNM station from ME to OZ,,
1060,,,network code revised for CDNM station from ME to OZ,,
1061,,,network code revised for CDNM station from ME to OZ,,
1062,,,network code revised for CDNM station from ME to OZ,,
1063,,,network code revised for CDNM station from ME to OZ,,
1064,,,network code revised for ROYM station from ME to OZ,,
1065,,,network code revised for TOMM station from ME to OZ,,
1066,,,network code revised for TOMM station from ME to OZ,,
1067,,,network code revised for TOMM station from ME to OZ,,
1068,,,network code revised for TOMM station from ME to OZ,,
1069,,,network code revised for TOMM station from ME to OZ,,
1070,,,network code revised for TOMM station from ME to OZ,,
1071,,,network code revised for MOON station from ME to OZ,,
1072,,,network code revised for MOON station from ME to OZ,,
1073,,,network code revised for MOON station from ME to OZ,,
1074,,,network code revised for JENM station from ME to OZ,,
1075,,,network code revised for JENM station from ME to OZ,,
1076,,,network code revised for JENM station from ME to OZ,,
1077,,,network code revised for DROM station from ME to OZ,,
1078,,,network code revised for DROM station from ME to OZ,,
1079,,,network code revised for DROM station from ME to OZ,,
1080,,,network code revised for DROM station from ME to OZ,,
1081,,,network code revised for DROM station from ME to OZ,,
1082,,,network code revised for DROM station from ME to OZ,,
1083,,,network code revised for GLMM station from ME to OZ,,
1084,,,network code revised for GLMM station from ME to OZ,,
1085,,,network code revised for GLMM station from ME to OZ,,
1086,,,network code revised for FSHM station from ME to OZ,,
1087,,,network code revised for FSHM station from ME to OZ,,
1088,,,network code revised for FSHM station from ME to OZ,,
1089,,,network code revised for WILL station from ME to OZ,,
1090,,,network code revised for WILL station from ME to OZ,,
1091,,,network code revised for WILL station from ME to OZ,,
1092,,,network code revised for ROWM station from ME to OZ,,
1093,,,network code revised for ROWM station from ME to OZ,,
1094,,,network code revised for ROWM station from ME to OZ,,
1095,,,network code revised for TATM station from ME to OZ,,
1096,,,network code revised for TATM station from ME to OZ,,
1097,,,network code revised for TATM station from ME to OZ,,
1098,,,network code revised for BANM station from ME to OZ,,
1099,,,network code revised for BANM station from ME to OZ,,
1100,,,network code revised for BANM station from ME to OZ,,
1101,,,network code revised for BANM station from ME to OZ,,
1102,,,network code revised for BANM station from ME to OZ,,
1103,,,network code revised for BANM station from ME to OZ,,
1104,,,network code revised for RUSM station from ME to OZ,,
1105,,,network code revised for RUSM station from ME to OZ,,
1106,,,network code revised for RUSM station from ME to OZ,,
1107,,,network code revised for CCRM station from ME to OZ,,
1108,,,network code revised for CCRM station from ME to OZ,,
1109,,,network code revised for CCRM station from ME to OZ,,
1110,,,network code revised for FRTM station from ME to OZ,,
1111,,,network code revised for FRTM station from ME to OZ,,
1112,,,network code revised for FRTM station from ME to OZ,,
1113,,,network code revised for TPND station from ME to OZ,,
1114,,,network code revised for TPND station from ME to OZ,,
1115,,,network code revised for TPND station from ME to OZ,,
1116,,,network code revised for TPND station from ME to OZ,,
1117,,,network code revised for TPND station from ME to OZ,,
1118,,,network code revised for TPND station from ME to OZ,,
1119,,,network code revised for KLBR station from nan to AU,,
1120,,,network code revised for KLBR station from nan to AU,,
1121,,,network code revised for KLBR station from nan to AU,,
1122,,,network code revised for KLBR station from nan to AU,,
1123,,,network code revised for KLBR station from nan to AU,,
1124,,,network code revised for KLBR station from nan to AU,,
1125,,,network code revised for KLBR station from nan to AU,,
1126,,,network code revised for KLBR station from nan to AU,,
1127,,,network code revised for KLBR station from nan to AU,,
1128,,,network code revised for KLBR station from nan to AU,,
1129,,,network code revised for KLBR station from nan to AU,,
1130,,,network code revised for KLBR station from nan to AU,,
1131,,,network code revised for KMBL station from nan to AU,,
1132,,,network code revised for KMBL station from nan to AU,,
1133,,,network code revised for KMBL station from nan to AU,,
1134,,,network code revised for KMBL station from nan to AU,,
1135,,,network code revised for KMBL station from nan to AU,,
1136,,,network code revised for KMBL station from nan to AU,,
1137,,,network code revised for KLBR station from nan to AU,,
1138,,,network code revised for KLBR station from nan to AU,,
1139,,,network code revised for KLBR station from nan to AU,,
1140,,,network code revised for KLBR station from nan to AU,,
1141,,,network code revised for KLBR station from nan to AU,,
1142,,,network code revised for KLBR station from nan to AU,,
1143,,,network code revised for FSHM station from ME to OZ,,
1144,,,network code revised for FSHM station from ME to OZ,,
1145,,,network code revised for FSHM station from ME to OZ,,
1146,,,network code revised for JENM station from ME to OZ,,
1147,,,network code revised for JENM station from ME to OZ,,
1148,,,network code revised for JENM station from ME to OZ,,
1149,,,network code revised for JENM station from ME to OZ,,
1150,,,network code revised for JENM station from ME to OZ,,
1151,,,network code revised for JENM station from ME to OZ,,
1152,,,network code revised for CDNM station from ME to OZ,,
1153,,,network code revised for CDNM station from ME to OZ,,
1154,,,network code revised for CDNM station from ME to OZ,,
1155,,,network code revised for CDNM station from ME to OZ,,
1156,,,network code revised for CDNM station from ME to OZ,,
1157,,,network code revised for CDNM station from ME to OZ,,
1158,,,network code revised for DROM station from ME to OZ,,
1159,,,network code revised for DROM station from ME to OZ,,
1160,,,network code revised for DROM station from ME to OZ,,
1161,,,network code revised for DROM station from ME to OZ,,
1162,,,network code revised for DROM station from ME to OZ,,
1163,,,network code revised for DROM station from ME to OZ,,
1164,,,network code revised for ROYM station from ME to OZ,,
1165,,,network code revised for ROYM station from ME to OZ,,
1166,,,network code revised for ROYM station from ME to OZ,,
1167,,,network code revised for ROYM station from ME to OZ,,
1168,,,network code revised for ROYM station from ME to OZ,,
1169,,,network code revised for ROYM station from ME to OZ,,
1170,,,network code revised for GLMM station from ME to OZ,,
1171,,,network code revised for GLMM station from ME to OZ,,
1172,,,network code revised for GLMM station from ME to OZ,,
1173,,,network code revised for CCRM station from ME to OZ,,
1174,,,network code revised for CCRM station from ME to OZ,,
1175,,,network code revised for CCRM station from ME to OZ,,
1176,,,network code revised for DTMM station from ME to OZ,,
1177,,,network code revised for HOPM station from ME to OZ,,
1178,,,network code revised for HOPM station from ME to OZ,,
1179,,,network code revised for HOPM station from ME to OZ,,
1180,,,network code revised for HOPM station from ME to OZ,,
1181,,,network code revised for HOPM station from ME to OZ,,
1182,,,network code revised for HOPM station from ME to OZ,,
1183,,,network code revised for MILA station from nan to AU,,
1184,,,network code revised for MILA station from nan to AU,,
1185,,,network code revised for MILA station from nan to AU,,
1186,,,network code revised for MILA station from nan to AU,,
1187,,,network code revised for MILA station from nan to AU,,
1188,,,network code revised for MILA station from nan to AU,,
1189,,,network code revised for ARPS station from nan to AU,,
1190,,,network code revised for ARPS station from nan to AU,,
1191,,,network code revised for ARPS station from nan to AU,,
1192,,,network code revised for ARPS station from nan to AU,,
1193,,,network code revised for ARPS station from nan to AU,,
1194,,,network code revised for ARPS station from nan to AU,,
1195,,,network code revised for KORUM station from ME to OZ,,
1196,,,network code revised for KORUM station from ME to OZ,,
1197,,,network code revised for KORUM station from ME to OZ,,
1198,,,network code revised for KORUM station from ME to OZ,,
1199,,,network code revised for KORUM station from ME to OZ,,
1200,,,network code revised for KORUM station from ME to OZ,,
1201,,,network code revised for TMP3 station from ME to AU,,
1202,,,network code revised for TMP3 station from ME to AU,,
1203,,,network code revised for TMP3 station from ME to AU,,
1204,,,network code revised for TMP3 station from ME to AU,,
1205,,,network code revised for TMP3 station from ME to AU,,
1206,,,network code revised for TMP3 station from ME to AU,,
1207,,,network code revised for FSHM station from ME to OZ,,
1208,,,network code revised for FSHM station from ME to OZ,,
1209,,,network code revised for FSHM station from ME to OZ,,
1210,,,network code revised for JENM station from ME to OZ,,
1211,,,network code revised for JENM station from ME to OZ,,
1212,,,network code revised for JENM station from ME to OZ,,
1213,,,network code revised for JENM station from ME to OZ,,
1214,,,network code revised for JENM station from ME to OZ,,
1215,,,network code revised for JENM station from ME to OZ,,
1216,,,network code revised for MOON station from ME to OZ,,
1217,,,network code revised for MOON station from ME to OZ,,
1218,,,network code revised for MOON station from ME to OZ,,
1219,,,network code revised for CDNM station from ME to OZ,,
1220,,,network code revised for CDNM station from ME to OZ,,
1221,,,network code revised for CDNM station from ME to OZ,,
1222,,,network code revised for CDNM station from ME to OZ,,
1223,,,network code revised for CDNM station from ME to OZ,,
1224,,,network code revised for CDNM station from ME to OZ,,
1225,,,network code revised for DROM station from ME to OZ,,
1226,,,network code revised for DROM station from ME to OZ,,
1227,,,network code revised for DROM station from ME to OZ,,
1228,,,network code revised for DROM station from ME to OZ,,
1229,,,network code revised for DROM station from ME to OZ,,
1230,,,network code revised for DROM station from ME to OZ,,
1231,,,network code revised for ROYM station from ME to OZ,,
1232,,,network code revised for ROYM station from ME to OZ,,
1233,,,network code revised for ROYM station from ME to OZ,,
1234,,,network code revised for ROYM station from ME to OZ,,
1235,,,network code revised for ROYM station from ME to OZ,,
1236,,,network code revised for ROYM station from ME to OZ,,
1237,,,network code revised for GLMM station from ME to OZ,,
1238,,,network code revised for GLMM station from ME to OZ,,
1239,,,network code revised for GLMM station from ME to OZ,,
1240,,,network code revised for ROWM station from ME to OZ,,
1241,,,network code revised for ROWM station from ME to OZ,,
1242,,,network code revised for ROWM station from ME to OZ,,
1243,,,network code revised for FRTM station from ME to OZ,,
1244,,,network code revised for FRTM station from ME to OZ,,
1245,,,network code revised for FRTM station from ME to OZ,,
1246,,,network code revised for CCRM station from ME to OZ,,
1247,,,network code revised for CCRM station from ME to OZ,,
1248,,,network code revised for CCRM station from ME to OZ,,
1249,,,network code revised for NARM station from ME to OZ,,
1250,,,network code revised for NARM station from ME to OZ,,
1251,,,network code revised for NARM station from ME to OZ,,
1252,,,network code revised for NARM station from ME to OZ,,
1253,,,network code revised for NARM station from ME to OZ,,
1254,,,network code revised for NARM station from ME to OZ,,
1255,,,network code revised for DRAM station from ME to OZ,,
1256,,,network code revised for DRAM station from ME to OZ,,
